,High
2014-04-15,579.8699951171875
2014-04-16,581.4000244140625
2014-04-17,573.6300048828125
2014-04-18,571.3499755859375
2014-04-19,560.3499755859375
2014-04-20,567.0
2014-04-21,570.0599975585938
2014-04-22,576.8900146484375
2014-04-23,581.52001953125
2014-04-24,581.3200073242188
2014-04-25,571.4000244140625
2014-04-26,562.3300170898439
2014-04-27,555.239990234375
2014-04-28,562.760009765625
2014-04-29,572.47998046875
2014-04-30,583.5499877929688
2014-05-01,584.75
2014-05-02,595.8499755859375
2014-05-03,603.239990234375
2014-05-04,600.75
2014-05-05,599.030029296875
2014-05-06,599.5
2014-05-07,593.469970703125
2014-05-08,602.3900146484375
2014-05-09,599.5999755859375
2014-05-10,597.8599853515625
2014-05-11,604.0
2014-05-12,604.0599975585938
2014-05-13,616.8099975585938
2014-05-14,624.3800048828125
2014-05-15,626.77001953125
2014-05-16,637.6400146484375
2014-05-17,638.010009765625
2014-05-18,636.5499877929688
2014-05-19,637.8200073242188
2014-05-20,628.25
2014-05-21,626.97998046875
2014-05-22,626.75
2014-05-23,615.9500122070312
2014-05-24,626.7999877929688
2014-05-25,669.97998046875
2014-05-26,685.5
2014-05-27,680.2999877929688
2014-05-28,674.0
2014-05-29,676.489990234375
2014-05-30,676.9500122070312
2014-05-31,686.97998046875
2014-06-01,704.5499877929688
2014-06-02,719.0
2014-06-03,722.4500122070312
2014-06-04,719.25
2014-06-05,713.25
2014-06-06,714.469970703125
2014-06-07,702.5399780273438
2014-06-08,699.4000244140625
2014-06-09,707.239990234375
2014-06-10,706.0
2014-06-11,707.5
2014-06-12,710.8599853515625
2014-06-13,715.0
2014-06-14,716.5999755859375
2014-06-15,724.22998046875
2014-06-16,726.4299926757812
2014-06-17,728.280029296875
2014-06-18,727.0
2014-06-19,731.5
2014-06-20,730.0
2014-06-21,729.4199829101562
2014-06-22,728.9099731445312
2014-06-23,724.97998046875
2014-06-24,721.989990234375
2014-06-25,720.8099975585938
2014-06-26,722.5599975585938
2014-06-27,718.0
2014-06-28,718.2000122070312
2014-06-29,721.3099975585938
2014-06-30,718.4000244140625
2014-07-01,717.0
2014-07-02,722.1199951171875
2014-07-03,712.530029296875
2014-07-04,696.8200073242188
2014-07-05,708.0
2014-07-06,719.5
2014-07-07,719.3699951171875
2014-07-08,728.0
2014-07-09,729.5599975585938
2014-07-10,737.77001953125
2014-07-11,739.5499877929688
2014-07-12,746.0999755859375
2014-07-13,755.9000244140625
2014-07-14,757.3400268554688
2014-07-15,756.8699951171875
2014-07-16,749.0399780273438
2014-07-17,746.5499877929688
2014-07-18,741.5999755859375
2014-07-19,743.3300170898438
2014-07-20,746.25
2014-07-21,749.3599853515625
2014-07-22,751.280029296875
2014-07-23,748.5
2014-07-24,743.1300048828125
2014-07-25,740.9400024414062
2014-07-26,753.3599853515625
2014-07-27,766.0
2014-07-28,770.5
2014-07-29,765.010009765625
2014-07-30,758.8900146484375
2014-07-31,765.0
2014-08-01,768.469970703125
2014-08-02,767.0
2014-08-03,772.5999755859375
2014-08-04,772.0999755859375
2014-08-05,773.75
2014-08-06,773.1500244140625
2014-08-07,772.0399780273438
2014-08-08,768.72998046875
2014-08-09,765.219970703125
2014-08-10,765.1699829101562
2014-08-11,762.489990234375
2014-08-12,759.8499755859375
2014-08-13,764.7000122070312
2014-08-14,763.4099731445312
2014-08-15,760.5599975585938
2014-08-16,770.0
2014-08-17,774.97998046875
2014-08-18,771.8400268554688
2014-08-19,769.6400146484375
2014-08-20,772.0399780273438
2014-08-21,776.0
2014-08-22,789.47998046875
2014-08-23,790.7899780273438
2014-08-24,786.5
2014-08-25,781.0
2014-08-26,772.6599731445312
2014-08-27,769.8900146484375
2014-08-28,767.5
2014-08-29,770.8699951171875
2014-08-30,780.4600219726562
2014-08-31,781.9400024414062
2014-09-01,781.3699951171875
2014-09-02,790.6900024414062
2014-09-03,805.8900146484375
2014-09-04,807.75
2014-09-05,805.9299926757812
2014-09-06,816.6400146484375
2014-09-07,830.1400146484375
2014-09-08,837.5
2014-09-09,839.9500122070312
2014-09-10,839.8599853515625
2014-09-11,842.3699951171875
2014-09-12,845.6699829101562
2014-09-13,847.2100219726562
2014-09-14,845.9500122070312
2014-09-15,845.2000122070312
2014-09-16,841.2899780273438
2014-09-17,837.6699829101562
2014-09-18,831.7999877929688
2014-09-19,835.739990234375
2014-09-20,822.0
2014-09-21,823.260009765625
2014-09-22,820.6699829101562
2014-09-23,815.7100219726562
2014-09-24,819.4199829101562
2014-09-25,838.2999877929688
2014-09-26,843.0900268554688
2014-09-27,833.4400024414062
2014-09-28,831.719970703125
2014-09-29,789.489990234375
2014-09-30,793.7000122070312
2014-10-01,800.8400268554688
2014-10-02,784.75
2014-10-03,777.0
2014-10-04,766.0
2014-10-05,787.72998046875
2014-10-06,791.739990234375
2014-10-07,777.5
2014-10-08,778.8300170898438
2014-10-09,743.260009765625
2014-10-10,746.0
2014-10-11,746.780029296875
2014-10-12,749.8699951171875
2014-10-13,757.5
2014-10-14,767.739990234375
2014-10-15,780.3499755859375
2014-10-16,792.4000244140625
2014-10-17,781.75
2014-10-18,786.75
2014-10-19,777.0
2014-10-20,769.8900146484375
2014-10-21,768.0900268554688
2014-10-22,753.3699951171875
2014-10-23,748.489990234375
2014-10-24,761.489990234375
2014-10-25,768.239990234375
2014-10-26,770.4199829101562
2014-10-27,773.7899780273438
2014-10-28,770.25
2014-10-29,766.8900146484375
2014-10-30,782.4600219726562
2014-10-31,780.8599853515625
2014-11-01,769.0999755859375
2014-11-02,765.1300048828125
2014-11-03,770.5
2014-11-04,774.3900146484375
2014-11-05,771.219970703125
2014-11-06,771.2100219726562
2014-11-07,766.5
2014-11-08,774.6500244140625
2014-11-09,780.0
2014-11-10,773.4000244140625
2014-11-11,767.4000244140625
2014-11-12,758.760009765625
2014-11-13,759.6799926757812
2014-11-14,782.4000244140625
2014-11-15,799.4400024414062
2014-11-16,801.77001953125
2014-11-17,798.0
2014-11-18,799.5
2014-11-19,814.1300048828125
2014-11-20,821.6500244140625
2014-11-21,816.0
2014-11-22,811.72998046875
2014-11-23,813.510009765625
2014-11-24,816.02001953125
2014-11-25,818.5
2014-11-26,823.989990234375
2014-11-27,837.4199829101562
2014-11-28,843.8400268554688
2014-11-29,839.7000122070312
2014-11-30,833.5
2014-12-01,826.989990234375
2014-12-02,833.780029296875
2014-12-03,842.489990234375
2014-12-04,818.2999877929688
2014-12-05,810.719970703125
2014-12-06,816.1599731445312
2014-12-07,821.47998046875
2014-12-08,825.0
2014-12-09,828.0
2014-12-10,843.0
2014-12-11,838.3099975585938
2014-12-12,842.8099975585938
2014-12-13,845.0
2014-12-14,847.27001953125
2014-12-15,857.97998046875
2014-12-16,858.4299926757812
2014-12-17,860.8599853515625
2014-12-18,845.8099975585938
2014-12-19,852.5
2014-12-20,854.0900268554688
2014-12-21,854.8300170898438
2014-12-22,854.8200073242188
2014-12-23,851.989990234375
2014-12-24,848.489990234375
2014-12-25,848.4600219726562
2014-12-26,853.0700073242188
2014-12-27,856.4000244140625
2014-12-28,857.3499755859375
2014-12-29,855.6900024414062
2014-12-30,853.75
2014-12-31,854.4500122070312
2015-01-01,855.5
2015-01-02,853.8300170898438
2015-01-03,857.7999877929688
2015-01-04,862.7999877929688
2015-01-05,849.3699951171875
2015-01-06,850.8900146484375
2015-01-07,851.7999877929688
2015-01-08,850.2999877929688
2015-01-09,858.4600219726562
2015-01-10,876.4400024414062
2015-01-11,877.0599975585938
2015-01-12,890.3499755859375
2015-01-13,893.489990234375
2015-01-14,908.5399780273438
2015-01-15,923.719970703125
2015-01-16,917.1900024414062
2015-01-17,900.0900268554688
2015-01-18,908.510009765625
2015-01-19,911.239990234375
2015-01-20,904.0900268554688
2015-01-21,894.969970703125
2015-01-22,902.3800048828124
2015-01-23,909.6099853515624
2015-01-24,910.5
2015-01-25,905.3200073242188
2015-01-26,903.6500244140624
2015-01-27,909.989990234375
2015-01-28,909.47998046875
2015-01-29,915.75
2015-01-30,921.8599853515624
2015-01-31,949.5900268554688
2015-02-01,954.4000244140624
2015-02-02,950.0999755859376
2015-02-03,946.0
2015-02-04,945.0
2015-02-05,940.7899780273438
2015-02-06,949.0499877929688
2015-02-07,957.8900146484376
2015-02-08,953.75
2015-02-09,950.2899780273438
2015-02-10,962.7899780273438
